sent	avg_scale	nouns	proper	event	pronoun	verb	adj	adv	preposition	article	conjunction
0	4.25	6	0	0	0	2	2	0	1	1	0
1	2.25	4	0	0	0	1	0	0	0	1	1
2	3.0	3	0	0	0	2	0	0	2	3	1
3	4.25	2	0	0	1	0	2	0	0	1	0
4	4.25	3	0	0	3	2	2	2	1	2	3
5	3.0	4	0	0	1	2	1	1	2	1	0
6	4.75	2	1	0	2	3	0	3	0	0	1
7	3.75	6	0	0	0	3	4	0	3	4	0
8	3.25	3	0	0	0	0	1	0	0	3	0
9	3.5	2	1	0	0	1	1	0	1	2	0
10	3.0	2	0	0	1	0	0	0	0	2	0
