sent	avg_scale	nouns	proper	event	pronoun	verb	adj	adv	preposition	article	conjunction
0	0.67	1	0	0	0	0	1	1	0	0	0
1	3.67	4	1	0	0	1	2	1	1	2	0
2	4.34	2	0	0	0	1	0	1	0	2	0
3	5.0	3	0	0	0	0	0	0	3	1	0
4	2.67	3	0	0	0	0	2	0	1	2	1
5	6.0	1	0	0	0	0	1	0	0	1	0
6	3.0	1	1	0	0	0	0	0	0	1	0
7	2.67	2	0	0	0	0	2	1	0	1	0
8	4.0	5	1	0	0	0	2	0	2	3	0
9	1.67	2	1	0	0	0	3	0	2	0	0
0	0.5	1	0	0	0	0	0	0	0	1	0
1	0.75	3	0	0	0	0	0	0	0	3	0
2	3.75	2	0	0	0	0	1	1	0	1	0
3	0.0	0	1	0	0	0	0	0	1	0	0
4	4.25	1	0	0	0	0	1	0	0	1	0
5	2.0	5	0	0	0	2	4	0	4	1	2
6	4.5	3	0	0	0	1	1	0	1	2	0
7	3.5	3	0	0	0	2	3	0	1	1	2
8	0.75	3	0	0	0	0	3	0	0	0	0
9	2.5	4	1	0	0	1	4	0	1	1	1
